timestamp,marginal_profit,pnl,trades,position,actual_pnl,starfruit_price,amethyst_price
15800,34964,-250690,"(AMETHYSTS, MARKET << US, 9998, 1, 15800)
(AMETHYSTS, MARKET << US, 9998, 1, 15800)
(AMETHYSTS, MARKET << US, 9998, 1, 15800)
(AMETHYSTS, MARKET << US, 9998, 1, 15800)
(STARFRUIT, US << MARKET, 5028, 1, 15800)","{""AMETHYSTS"": 15, ""STARFRUIT"": 20}",-75,5030,10001
16200,5033,-245657,"(STARFRUIT, MARKET << US, 5033, 1, 16200)","{""AMETHYSTS"": 15, ""STARFRUIT"": 19}",-30,5033,10000
16700,-5028,-250685,"(STARFRUIT, US << MARKET, 5028, 1, 16700)","{""AMETHYSTS"": 15, ""STARFRUIT"": 20}",-20,5031,10003
16800,40008,-210677,"(AMETHYSTS, MARKET << US, 10002, 1, 16800)
(AMETHYSTS, MARKET << US, 10002, 1, 16800)
(AMETHYSTS, MARKET << US, 10002, 1, 16800)
(AMETHYSTS, MARKET << US, 10002, 1, 16800)","{""AMETHYSTS"": 11, ""STARFRUIT"": 20}",-68,5031,9999
17100,0,-210677,,"{""AMETHYSTS"": 11, ""STARFRUIT"": 20}",-66,5030,10001
17300,9998,-200679,"(AMETHYSTS, MARKET << US, 9998, 1, 17300)","{""AMETHYSTS"": 10, ""STARFRUIT"": 20}",-159,5028,9996
18000,0,-200679,,"{""AMETHYSTS"": 10, ""STARFRUIT"": 20}",-49,5031,10001
18200,0,-200679,,"{""AMETHYSTS"": 10, ""STARFRUIT"": 20}",-39,5032,10000
18600,20004,-180675,"(AMETHYSTS, MARKET << US, 10002, 1, 18600)
(AMETHYSTS, MARKET << US, 10002, 1, 18600)","{""AMETHYSTS"": 8, ""STARFRUIT"": 20}",-83,5030,9999
18700,50330,-130345,"(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)
(STARFRUIT, MARKET << US, 5033, 1, 18700)","{""AMETHYSTS"": 8, ""STARFRUIT"": 10}",-11,5031,10003
18900,-20076,-150421,"(AMETHYSTS, US << MARKET, 10004, 1, 18900)
(STARFRUIT, US << MARKET, 5036, 1, 18900)
(STARFRUIT, US << MARKET, 5036, 1, 18900)","{""AMETHYSTS"": 9, ""STARFRUIT"": 12}",-25,5033,10000
19000,-5038,-155459,"(STARFRUIT, US << MARKET, 5034, 1, 19000)
(STARFRUIT, US << MARKET, 5034, 1, 19000)
(STARFRUIT, MARKET << US, 5030, 1, 19000)","{""AMETHYSTS"": 9, ""STARFRUIT"": 13}",-22,5035,9998
20100,35193,-120266,"(AMETHYSTS, MARKET << US, 9998, 1, 20100)
(STARFRUIT, US << MARKET, 5039, 1, 20100)
(STARFRUIT, US << MARKET, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)
(STARFRUIT, MARKET << US, 5039, 1, 20100)","{""AMETHYSTS"": 8, ""STARFRUIT"": 8}",30,5036,10001
20500,30222,-90044,"(STARFRUIT, MARKET << US, 5037, 1, 20500)
(STARFRUIT, MARKET << US, 5037, 1, 20500)
(STARFRUIT, MARKET << US, 5037, 1, 20500)
(STARFRUIT, MARKET << US, 5037, 1, 20500)
(STARFRUIT, MARKET << US, 5037, 1, 20500)
(STARFRUIT, MARKET << US, 5037, 1, 20500)","{""AMETHYSTS"": 8, ""STARFRUIT"": 2}",32,5038,10000
20600,76,-89968,"(AMETHYSTS, US << MARKET, 10004, 1, 20600)
(STARFRUIT, MARKET << US, 5040, 1, 20600)
(STARFRUIT, MARKET << US, 5040, 1, 20600)","{""AMETHYSTS"": 9, ""STARFRUIT"": 0}",32,5036,10000
20800,10078,-79890,"(STARFRUIT, MARKET << US, 5039, 1, 20800)
(STARFRUIT, MARKET << US, 5039, 1, 20800)","{""AMETHYSTS"": 9, ""STARFRUIT"": -2}",32,5039,10000
20900,-10004,-89894,"(AMETHYSTS, US << MARKET, 10004, 1, 20900)","{""AMETHYSTS"": 10, ""STARFRUIT"": -2}",32,5037,10000
21100,-140,-90034,"(AMETHYSTS, MARKET << US, 9998, 1, 21100)
(AMETHYSTS, MARKET << US, 9998, 1, 21100)
(STARFRUIT, US << MARKET, 5034, 1, 21100)
(STARFRUIT, US << MARKET, 5034, 1, 21100)
(STARFRUIT, US << MARKET, 5034, 1, 21100)
(STARFRUIT, US << MARKET, 5034, 1, 21100)","{""AMETHYSTS"": 8, ""STARFRUIT"": 2}",48,5037,10001
21600,-20072,-110106,"(AMETHYSTS, US << MARKET, 10002, 1, 21600)
(STARFRUIT, US << MARKET, 5035, 1, 21600)
(STARFRUIT, US << MARKET, 5035, 1, 21600)","{""AMETHYSTS"": 9, ""STARFRUIT"": 4}",73,5038,10003
21900,-14956,-125062,"(AMETHYSTS, US << MARKET, 9996, 1, 21900)
(AMETHYSTS, US << MARKET, 9996, 1, 21900)
(STARFRUIT, MARKET << US, 5036, 1, 21900)","{""AMETHYSTS"": 11, ""STARFRUIT"": 3}",55,5039,10000
22000,-35110,-160172,"(AMETHYSTS, US << MARKET, 10000, 1, 22000)
(AMETHYSTS, US << MARKET, 10000, 1, 22000)
(STARFRUIT, US << MARKET, 5036, 1, 22000)
(STARFRUIT, US << MARKET, 5036, 1, 22000)
(STARFRUIT, US << MARKET, 5038, 1, 22000)","{""AMETHYSTS"": 13, ""STARFRUIT"": 6}",24,5037,9998
22100,15031,-145141,"(AMETHYSTS, MARKET << US, 9996, 1, 22100)
(STARFRUIT, MARKET << US, 5035, 1, 22100)","{""AMETHYSTS"": 12, ""STARFRUIT"": 5}",49,5038,10000
22400,0,-145141,"(AMETHYSTS, US << MARKET, 10002, 1, 22400)
(AMETHYSTS, US << MARKET, 10002, 1, 22400)
(AMETHYSTS, MARKET << US, 10002, 1, 22400)
(AMETHYSTS, MARKET << US, 10002, 1, 22400)","{""AMETHYSTS"": 12, ""STARFRUIT"": 5}",90,5039,10003
22500,-60012,-205153,"(AMETHYSTS, US << MARKET, 10002, 1, 22500)
(AMETHYSTS, US << MARKET, 10002, 1, 22500)
(AMETHYSTS, US << MARKET, 10002, 1, 22500)
(AMETHYSTS, US << MARKET, 10002, 1, 22500)
(AMETHYSTS, US << MARKET, 10002, 1, 22500)
(AMETHYSTS, US << MARKET, 10002, 1, 22500)","{""AMETHYSTS"": 18, ""STARFRUIT"": 5}",96,5039,10003
22700,-20172,-225325,"(STARFRUIT, US << MARKET, 5043, 1, 22700)
(STARFRUIT, US << MARKET, 5043, 1, 22700)
(STARFRUIT, US << MARKET, 5043, 1, 22700)
(STARFRUIT, US << MARKET, 5043, 1, 22700)","{""AMETHYSTS"": 18, ""STARFRUIT"": 9}",26,5039,10000
23200,9998,-215327,"(AMETHYSTS, MARKET << US, 9998, 1, 23200)","{""AMETHYSTS"": 17, ""STARFRUIT"": 9}",-44,5039,9996
23300,-10082,-225409,"(STARFRUIT, US << MARKET, 5041, 1, 23300)
(STARFRUIT, US << MARKET, 5041, 1, 23300)","{""AMETHYSTS"": 17, ""STARFRUIT"": 11}",9,5038,10000
23700,25220,-200189,"(STARFRUIT, MARKET << US, 5044, 1, 23700)
(STARFRUIT, MARKET << US, 5044, 1, 23700)
(STARFRUIT, MARKET << US, 5044, 1, 23700)
(STARFRUIT, MARKET << US, 5044, 1, 23700)
(STARFRUIT, MARKET << US, 5044, 1, 23700)","{""AMETHYSTS"": 17, ""STARFRUIT"": 6}",51,5040,10000
23900,5042,-195147,"(STARFRUIT, MARKET << US, 5042, 1, 23900)","{""AMETHYSTS"": 17, ""STARFRUIT"": 5}",68,5043,10000
24200,-19996,-215143,"(AMETHYSTS, US << MARKET, 9998, 1, 24200)
(AMETHYSTS, US << MARKET, 9998, 1, 24200)","{""AMETHYSTS"": 19, ""STARFRUIT"": 5}",91,5043,10001
24300,-10002,-225145,"(AMETHYSTS, US << MARKET, 10002, 1, 24300)","{""AMETHYSTS"": 20, ""STARFRUIT"": 5}",120,5041,10003
24500,-10074,-235219,"(STARFRUIT, US << MARKET, 5037, 1, 24500)
(STARFRUIT, US << MARKET, 5037, 1, 24500)","{""AMETHYSTS"": 20, ""STARFRUIT"": 7}",-12,5041,9996
24700,25052,-210167,"(AMETHYSTS, MARKET << US, 10004, 1, 24700)
(AMETHYSTS, MARKET << US, 10004, 1, 24700)
(STARFRUIT, MARKET << US, 5044, 1, 24700)","{""AMETHYSTS"": 18, ""STARFRUIT"": 6}",73,5040,10000
25100,-20091,-230258,"(AMETHYSTS, US << MARKET, 10005, 1, 25100)
(STARFRUIT, US << MARKET, 5043, 1, 25100)
(STARFRUIT, US << MARKET, 5043, 1, 25100)","{""AMETHYSTS"": 19, ""STARFRUIT"": 8}",54,5039,10000
25300,-4960,-235218,"(AMETHYSTS, US << MARKET, 9996, 1, 25300)
(STARFRUIT, MARKET << US, 5036, 1, 25300)","{""AMETHYSTS"": 20, ""STARFRUIT"": 7}",35,5039,9999
25400,5042,-230176,"(STARFRUIT, MARKET << US, 5042, 1, 25400)","{""AMETHYSTS"": 20, ""STARFRUIT"": 6}",72,5038,10001
